Unnamed: 0,sj,fl_e,fl_n,fl_s,fl_w,label
#GS006,2018/11/23 14:00,637,761,1198,842,3438
#GS035,2018/11/23 14:00,0,1154,797,760,2711
#GS007,2018/11/23 15:00,587,934,594,263,2378
#GS006,2018/11/23 15:00,736,610,1096,799,3241
#GS035,2018/11/23 15:00,0,1188,794,780,2762
#GS008,2018/11/23 15:00,1188,885,1153,1092,4318
#GS007,2018/11/23 16:00,818,1020,701,331,2870
#GS006,2018/11/23 16:00,985,523,1222,809,3539
#GS035,2018/11/23 16:00,0,1294,864,726,2884
#GS008,2018/11/23 16:00,1245,1021,1167,802,4235
#GS035,2018/11/23 17:00,0,1502,742,672,3376
#GS006,2018/11/23 17:00,797,1182,1135,855,4801
#GS007,2018/11/23 17:00,700,1245,568,355,4145
#GS008,2018/11/23 17:00,1387,1439,494,1058,5722
#GS007,2018/11/23 18:00,700,1245,568,355,2868
#GS008,2018/11/23 18:00,1387,1439,494,1058,4378
#GS035,2018/11/23 18:00,0,1502,742,672,2916
#GS006,2018/11/23 18:00,797,1182,1135,855,3969
#GS035,2018/11/23 19:00,0,1293,729,581,2603
#GS006,2018/11/23 19:00,527,967,817,677,2988
#GS007,2018/11/23 19:00,360,940,441,271,2012
#GS008,2018/11/23 19:00,1106,925,460,885,3376
#GS006,2018/11/23 1:00,46,194,136,67,443
#GS035,2018/11/23 1:00,0,184,109,108,401
#GS007,2018/11/23 1:00,47,184,87,41,359
#GS008,2018/11/23 1:00,190,153,81,122,546
#GS008,2018/11/23 20:00,1005,776,408,824,3013
#GS035,2018/11/23 20:00,0,1005,623,527,2155
#GS006,2018/11/23 20:00,367,815,726,531,2439
#GS007,2018/11/23 20:00,321,785,430,225,1761
#GS006,2018/11/23 21:00,277,738,674,465,2154
#GS035,2018/11/23 21:00,0,933,653,535,2121
#GS007,2018/11/23 21:00,267,692,382,218,1559
#GS008,2018/11/23 21:00,1020,689,433,722,2864
#GS035,2018/11/23 22:00,0,775,534,459,1768
#GS008,2018/11/23 22:00,793,583,347,648,2371
#GS006,2018/11/23 22:00,248,649,609,390,1896
#GS007,2018/11/23 22:00,261,591,349,170,1371
#GS008,2018/11/23 23:00,621,441,224,450,1736
#GS007,2018/11/23 23:00,239,439,226,121,1025
#GS006,2018/11/23 23:00,198,499,448,290,1435
#GS035,2018/11/23 23:00,0,524,312,301,1137
#GS008,2018/11/23 2:00,113,119,58,88,378
#GS007,2018/11/23 2:00,28,120,54,31,233
#GS006,2018/11/23 2:00,29,121,100,45,295
#GS035,2018/11/23 2:00,0,127,82,71,280
#GS008,2018/11/23 3:00,95,73,41,64,273
#GS007,2018/11/23 3:00,9,72,52,24,157
#GS006,2018/11/23 3:00,26,87,70,28,211
#GS035,2018/11/23 3:00,0,99,52,54,205
#GS007,2018/11/23 4:00,8,46,20,7,81
#GS035,2018/11/23 4:00,0,66,41,36,143
#GS008,2018/11/23 4:00,56,36,24,38,154
#GS006,2018/11/23 4:00,15,46,37,23,121
#GS008,2018/11/23 5:00,53,46,44,59,202
#GS035,2018/11/23 5:00,0,82,59,61,202
#GS007,2018/11/23 5:00,18,51,28,8,105
#GS006,2018/11/23 5:00,21,65,39,33,158
#GS035,2018/11/23 6:00,0,218,134,190,542
#GS007,2018/11/23 6:00,71,95,47,26,239
#GS008,2018/11/23 6:00,155,142,92,204,593
#GS006,2018/11/23 6:00,83,160,111,128,482
#GS006,2018/11/23 7:00,500,866,801,862,3029
#GS007,2018/11/23 7:00,547,661,623,375,2206
#GS008,2018/11/23 7:00,1002,592,1186,1257,4037
#GS035,2018/11/23 7:00,0,867,858,1163,2888
#GS035,2018/11/23 8:00,0,1007,1188,1303,3498
#GS008,2018/11/23 8:00,1518,895,2615,1496,6524
#GS007,2018/11/23 8:00,981,1260,1506,655,4402
